TestID,Scenario,SortMode,BiasFactor,BiasCap,VoxelSize,TileSize,AvgLength,Cohesion,TimeMs
1,Lonely Tree,Alvo,0.50,0.01,0.020,16,22.15,10.3777,110
2,Lonely Tree,Alvo,0.50,0.01,0.020,32,20.66,10.7328,16
3,Lonely Tree,Alvo,0.50,0.01,0.020,64,19.77,11.2105,5
4,Lonely Tree,Alvo,0.50,0.01,0.020,128,19.68,13.0741,1
5,Lonely Tree,Alvo,0.50,0.01,0.050,16,21.32,11.9880,12
6,Lonely Tree,Alvo,0.50,0.01,0.050,32,19.65,11.6444,2
7,Lonely Tree,Alvo,0.50,0.01,0.050,64,19.39,12.0417,0
8,Lonely Tree,Alvo,0.50,0.01,0.050,128,19.46,13.5714,0
9,Lonely Tree,Alvo,0.50,0.01,0.100,16,19.67,11.3913,2
10,Lonely Tree,Alvo,0.50,0.01,0.100,32,19.38,12.0417,0
11,Lonely Tree,Alvo,0.50,0.01,0.100,64,19.45,13.5714,0
12,Lonely Tree,Alvo,0.50,0.01,0.100,128,19.33,14.7500,0
13,Lonely Tree,Alvo,0.50,0.01,0.160,16,19.65,13.0741,1
14,Lonely Tree,Alvo,0.50,0.01,0.160,32,19.89,14.2857,0
15,Lonely Tree,Alvo,0.50,0.01,0.160,64,23.50,13.4000,0
16,Lonely Tree,Alvo,0.50,0.01,0.160,128,19.50,14.6250,0
17,Lonely Tree,Alvo,0.50,0.50,0.020,16,22.15,10.3777,85
18,Lonely Tree,Alvo,0.50,0.50,0.020,32,20.66,10.7328,23
19,Lonely Tree,Alvo,0.50,0.50,0.020,64,19.77,11.2105,4
20,Lonely Tree,Alvo,0.50,0.50,0.020,128,19.68,13.0741,1
21,Lonely Tree,Alvo,0.50,0.50,0.050,16,21.30,11.7059,19
22,Lonely Tree,Alvo,0.50,0.50,0.050,32,19.60,11.1489,2
23,Lonely Tree,Alvo,0.50,0.50,0.050,64,19.39,12.0417,1
24,Lonely Tree,Alvo,0.50,0.50,0.050,128,19.42,13.5000,0
25,Lonely Tree,Alvo,0.50,0.50,0.100,16,19.67,11.3913,3
26,Lonely Tree,Alvo,0.50,0.50,0.100,32,19.38,12.0417,1
27,Lonely Tree,Alvo,0.50,0.50,0.100,64,19.41,13.5000,0
28,Lonely Tree,Alvo,0.50,0.50,0.100,128,19.33,14.7500,0
29,Lonely Tree,Alvo,0.50,0.50,0.160,16,19.65,13.0741,1
30,Lonely Tree,Alvo,0.50,0.50,0.160,32,20.02,12.3750,0
31,Lonely Tree,Alvo,0.50,0.50,0.160,64,23.50,12.0909,0
32,Lonely Tree,Alvo,0.50,0.50,0.160,128,19.50,14.6250,0
33,Lonely Tree,Alvo,0.50,0.75,0.020,16,22.14,10.2025,138
